Taxa,Class,Order,Family,Genus,functional.group,Nitrogen.fixation,Si.demand,Mixotrophy,Colony,Mobility,Pigment,Ind_size,Colony_size,Source,System
Navicula vaucheriae,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,MP,0,1,0,0,0,BW,,134.8898757,Kremer,
Navicula viridula,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,MP,0,1,0,0,0,BW,,1450.632176,Klais,
Navicula viridula,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,MP,0,1,0,0,0,BW,,NA,SCOR,
Navicula viridula,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,MP,0,1,0,0,0,BW,,3000,Kanako,
Navicula viridula,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,MP,0,1,0,0,0,BW,,879.5724295,Kremer,
Navicula viridula var. viridula,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,MP,0,1,0,0,0,BW,,NA,SCOR,
Navicula vulpina,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,MP,0,1,0,0,0,BW,,2040,Kremer,
Naviculaceae,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,MP,0,1,0,0,0,BW,,NA,SCOR,
Nedium iridis,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,5000,Kanako,
Nedium iridis var. ampliata,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,5000,Kanako,
Nedium sp.,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,5000,Kanako,
Neidium affine,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,NA,SCOR,
Neidium affine,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,2474.8296,Kremer,
Neidium ampliatum,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,2153.393075,Kremer,
Neidium bisulcatum,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,2648.399609,Kremer,
Neidium dubium,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,3900,Orlane,Gv
Neidium dubium,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,4906,Kremer,
Neidium hercynicum,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,3981.404888,Kremer,
Neidium iridis,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,3000,Orlane,Gv
Neidium iridis,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,20840.67403,Kremer,
Neidium ladogense,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,3578,Kremer,
Neidium perminutum,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,165.996381,Kremer,
Neidium sacoense,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,33750,Kremer,
Neidium sp.,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,MP,0,1,0,0,0,BW,,1900,Orlane,Gv
Neocalyptrella robusta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Neocalyptrella,A,0,1,0,0,0,BW,,NA,SCOR,
Neoceratium arietinum,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Lm,0,0,1,0,1,BW,,74108.52856,Klais,
Neoceratium furca,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Lm,0,0,1,0,1,BW,,38771.00956,Klais,
Neoceratium fusus,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Lm,0,0,1,0,1,BW,,23386.48359,Klais,
Neoceratium horridum,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Lm,0,0,1,0,1,BW,,53947.96609,Klais,
Neoceratium lineatum,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Lm,0,0,1,0,1,BW,,13501.36796,Klais,
Neoceratium macroceros,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Lm,0,0,1,0,1,BW,,53476.42331,Klais,
Neoceratium trichoceros,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Lm,0,0,1,0,1,BW,,40625.27627,Klais,
Neoceratium tripos,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Lm,0,0,1,0,1,BW,,115911.6973,Klais,
Neodesmus sp.,Chlorophyceae,,,Neodesmus,,0,0,0,1,0,G,,100,Kanako,
Nephrochlamys rostrata,Chlorophyceae,Oocystales,Oocystaceae,Nephrochlamys,F,0,0,0,1,0,G,,NA,SCOR,
Nephrochlamys sp.,Chlorophyceae,Oocystales,Oocystaceae,Nephrochlamys,,0,0,0,1,0,G,,500,Kanako,
Nephrochlamys spp.,Chlorophyceae,Oocystales,Oocystaceae,Nephrochlamys,,0,0,0,0,0,G,500,500,Maiko,Inba
Nephrochlamys subsolitaria,Trebouxiophyceae,Oocystales,Oocystaceae,Nephrochlamys,F,0,0,0,1,0,G,,52,Orlane,Gv
Nephrochlamys subsolitaria,Trebouxiophyceae,Oocystales,Oocystaceae,Nephrochlamys,F,0,0,0,1,0,G,,102.0455715,Kremer,
Nephrochlamys willeana,Trebouxiophyceae,Oocystales,Oocystaceae,Nephrochlamys,F,0,0,0,1,0,G,,NA,SCOR,
Nephrochloris spp.,Chrysophyceae,Chloramoebales,Chloramoebaceae,Nephrochloris,,0,0,0,0,1,BW,,1530.921784,Lin,Ks
Nephrocytium,Chlorophyceae,Oocystales,Oocystaceae,Nephrocytium,F,0,0,0,1,0,G,,NA,SCOR,
Nephrocytium agardhianum,Chlorophyceae,Oocystales,Oocystaceae,Nephrocytium,F,0,0,0,1,0,G,,33500,Orlane,Gv
Nephrocytium agardhianum,Chlorophyceae,Oocystales,Oocystaceae,Nephrocytium,F,0,0,0,1,0,G,,NA,SCOR,
Nephrocytium agardhianum,Chlorophyceae,Oocystales,Oocystaceae,Nephrocytium,F,0,0,0,1,0,G,,510.8479623,Kremer,
Nephrocytium limneticum,Chlorophyceae,Oocystales,Oocystaceae,Nephrocytium,F,0,0,0,1,0,G,,1357,Klais,
Nephrocytium limneticum,Chlorophyceae,Oocystales,Oocystaceae,Nephrocytium,F,0,0,0,1,0,G,,NA,SCOR,
Nephrocytium limneticum,Chlorophyceae,Oocystales,Oocystaceae,Nephrocytium,F,0,0,0,1,0,G,,588.7532687,Kremer,
Nephrocytium lunatum,Chlorophyceae,Oocystales,Oocystaceae,Nephrocytium,F,0,0,0,1,0,G,,NA,SCOR,
Nephrocytium lunatum,Chlorophyceae,Oocystales,Oocystaceae,Nephrocytium,F,0,0,0,1,0,G,,389.8912138,Kremer,
Nephrocytium sp.,Chlorophyceae,Oocystales,Oocystaceae,Nephrocytium,F,0,0,0,1,0,G,,500,Kanako,
Nephrocytium spp.,Chlorophyceae,Oocystales,Oocystaceae,Nephrocytium,F,0,0,0,1,0,G,,194.9664114,Lin,Ks
Nephrocytium spp.,Chlorophyceae,Oocystales,Oocystaceae,Nephrocytium,F,0,0,0,1,0,G,500,500,Maiko,Inba
Nephroselmis,Nephroselmidophyceae,Nephroselmidales,Nephroselmidaceae,Nephroselmis,,0,0,0,0,1,G,,31.82909173,Klais,
Nephroselmis,Nephroselmidophyceae,Nephroselmidales,Nephroselmidaceae,Nephroselmis,,0,0,0,0,1,G,,NA,SCOR,
Nephroselmis angulata,Nephroselmidophyceae,Nephroselmidales,Nephroselmidaceae,Nephroselmis,,0,0,0,0,1,G,,300,Kanako,
Nephroselmis minuta,Nephroselmidophyceae,Nephroselmidales,Nephroselmidaceae,Nephroselmis,,0,0,0,0,1,G,,NA,SCOR,
Nephroselmis olivacea,Nephroselmidophyceae,Nephroselmidales,Nephroselmidaceae,Nephroselmis,,0,0,0,0,1,G,,491.7791662,Lin,Ks
Nephroselmis olivacea,Nephroselmidophyceae,Nephroselmidales,Nephroselmidaceae,Nephroselmis,,0,0,0,0,1,G,,NA,SCOR,
Nephroselmis pyriformis,Nephroselmidophyceae,Nephroselmidales,Nephroselmidaceae,Nephroselmis,,0,0,0,0,1,G,,NA,SCOR,
Nephroselmis sp.,Nephroselmidophyceae,Nephroselmidales,Nephroselmidaceae,Nephroselmis,,0,0,0,0,1,G,,300,Kanako,
Netrium digitus,Conjugophyceae,Zygnematales,Mesotaeniaceae,Netrium,,0,0,0,0,0,G,,14978.89368,Kremer,
Netrium sp.,Conjugophyceae,Zygnematales,Mesotaeniaceae,Netrium,,0,0,0,0,0,G,,10000,Kanako,
Nitzschia,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,546.2321109,Klais,
Nitzschia,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia accommodata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia acicularis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,320,320,Clark,Bw
Nitzschia acicularis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,427.7938901,Lin,Ks
Nitzschia acicularis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,280,Orlane,Gv
Nitzschia acicularis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,217.294687,Klais,
Nitzschia acicularis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia acicularis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,320,Kanako,
Nitzschia acicularis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,147.7884589,Kremer,
Nitzschia acicularis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,320,320,Maiko,Inba
Nitzschia acicularis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,600,Cornell,Oneida
Nitzschia acicularis var. acicularis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia acicularis var. closterioides,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,508.8879542,Klais,
Nitzschia acicularis var. closterioides,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia acidoclinata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,134.6513264,Kremer,
Nitzschia actinastroides,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,138.2,Kremer,
Nitzschia actinastroides,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,310,310,Maiko,Inba
Nitzschia acula,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,800,Kremer,
Nitzschia agnewii,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia agnita,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia agnita,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,83.67706965,Kremer,
Nitzschia amphibia,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,320,Kanako,
Nitzschia amphibia,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,153.9769707,Kremer,
Nitzschia angularis var. affinis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia angustatula,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,325.1283253,Kremer,
Nitzschia archibaldii,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,59.17585797,Kremer,
Nitzschia bacata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,254.2856364,Kremer,
Nitzschia bilobata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia bilobata var. minor,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia bremensis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,1210.089098,Kremer,
Nitzschia brevissima,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,372.4818234,Kremer,
Nitzschia capitellata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia capitellata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,324.7412265,Kremer,
Nitzschia cf linearis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,7600,Orlane,Gv
Nitzschia clausii,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia clausii,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,503.930004,Kremer,
Nitzschia closterium,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,320,Kanako,
Nitzschia communis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,174.233511,Kremer,
Nitzschia commutata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,1900.046835,Kremer,
Nitzschia constricta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,1403.090435,Kremer,
Nitzschia debilis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,185.8209617,Kremer,
Nitzschia denticula,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,1484.294426,Kremer,
Nitzschia diserta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,231.812792,Kremer,
Nitzschia dissipata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,300,300,Clark,Bw
Nitzschia dissipata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,930,Orlane,Gv
Nitzschia dissipata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia dissipata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,300,Kanako,
Nitzschia dissipata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,223.1201111,Kremer,
Nitzschia dissipata var. media,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia draveillensis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia draveillensis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,11.80509319,Kremer,
Nitzschia dubia,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,11420.77616,Kremer,
Nitzschia fasciculata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia fasciculata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,3901,Kremer,
Nitzschia filiformis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia filiformis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,1006.701064,Kremer,
Nitzschia flexa,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,2670.925035,Kremer,
Nitzschia fonticola,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia fonticola,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,300,Kanako,
Nitzschia fonticola,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,77.40400304,Kremer,
Nitzschia fontifuga,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia frigida,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,679.3224572,Klais,
Nitzschia frigida,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia frustulum,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia frustulum,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,38.22771168,Kremer,
Nitzschia fruticosa,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,220,Orlane,Gv
Nitzschia fruticosa,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia fruticosa,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,310,310,Maiko,Inba
Nitzschia gessneri,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,91,Kremer,
Nitzschia gracilis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia gracilis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,274.8347752,Kremer,
Nitzschia gracillima,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia hantzschiana,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,168.1314575,Kremer,
Nitzschia heufleriana,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,2841.973911,Kremer,
Nitzschia holsatica,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,300,300,Clark,Bw
Nitzschia holsatica,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,131.6499481,Lin,Ks
Nitzschia holsatica,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,357.1140012,Klais,
Nitzschia holsatica,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia holsatica,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,300,Kanako,
Nitzschia holsatica,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,300,300,Maiko,Inba
Nitzschia hummii,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia hybrida,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia incerta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia inconspicua,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia inconspicua,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,28.55961886,Kremer,
Nitzschia insignis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia intermedia,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,90.37873695,Klais,
Nitzschia intermedia,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia intermedia,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,801.1597526,Kremer,
Nitzschia kuetzingiana,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,69.40566323,Kremer,
Nitzschia Kuetzingiana,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,200,Kanako,
Nitzschia lacunarum,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,770,Kremer,
Nitzschia lacuum,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,59.29211497,Kremer,
Nitzschia lanceolata,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia levidensis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,831.8591913,Lin,Ks
Nitzschia levidensis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,841.719992,Kremer,
Nitzschia liebethruthii,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,163.3824979,Kremer,
Nitzschia ligowskii,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia linearis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,1580,Orlane,Gv
Nitzschia linearis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia linearis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,2033.845522,Kremer,
Nitzschia linearis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,310,310,Maiko,Inba
Nitzschia linearis var. tenuis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia littoralis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,2730,Kremer,
Nitzschia longissima,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,349.1950082,Klais,
Nitzschia longissima,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia lorenziana,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia lorenziana,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,500,Kanako,
Nitzschia lorenziana,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,970.687173,Kremer,
Nitzschia microcephala,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia microcephala,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,95.29601063,Kremer,
Nitzschia nana,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia obtusa,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia obtusa,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,5000,Kanako,
Nitzschia obtusa,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,1029.989948,Kremer,
Nitzschia obtusa,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,5000,5000,Maiko,Inba
Nitzschia pacifica,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia palea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,310,310,Clark,Bw
Nitzschia palea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,380,Orlane,Gv
Nitzschia palea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,488.67071,Klais,
Nitzschia palea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia palea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,310,Kanako,
Nitzschia palea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,150.3668185,Kremer,
Nitzschia palea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,310,310,Maiko,Inba
Nitzschia palea-paleacea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,478.4443087,Lin,Ks
Nitzschia palea var. debilis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia paleacea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,240,Orlane,Gv
Nitzschia paleacea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,128.7324152,Klais,
Nitzschia paleacea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia paleacea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,250,Kanako,
Nitzschia paleacea,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,38.28880474,Kremer,
Nitzschia panduriformis,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,74.8,Kremer,
Nitzschia parvula,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,1641.26,Kremer,
Nitzschia pellucida,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,NA,SCOR,
Nitzschia perminuta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,D,0,1,0,0,0,BW,,72.8750317,Kremer,
